Name,Overall,Potential,Age,Club,Nationality,Positions,ValueEUR,WageEUR,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,AgeCategory,RatingCategory
L. Messi,91,91,35,Paris Saint-Germain,Argentina,RW,54000000,195000,81,89,90,94,34,64,Senior,World Class
K. Benzema,91,91,34,Real Madrid CF,France,"CF,ST",64000000,450000,80,88,83,87,39,78,Senior,World Class
R. Lewandowski,91,91,33,FC Barcelona,Poland,ST,84000000,420000,75,91,79,86,44,83,Senior,World Class
K. De Bruyne,91,91,31,Manchester City,Belgium,"CM,CAM",107500000,350000,74,88,93,87,64,77,Senior,World Class
K. Mbappé,91,95,23,Paris Saint-Germain,France,"ST,LW",190500000,230000,97,89,80,92,36,76,Adult,World Class
M. Salah,90,90,30,Liverpool,Egypt,RW,115500000,270000,90,89,82,90,45,75,Senior,World Class
T. Courtois,90,91,30,Real Madrid CF,Belgium,GK,90000000,250000,84,89,75,90,46,89,Senior,World Class
M. Neuer,90,90,36,FC Bayern München,Germany,GK,13500000,72000,87,88,91,88,56,91,Senior,World Class
Cristiano Ronaldo,90,90,37,Manchester United,Portugal,ST,41000000,220000,81,92,78,85,34,75,Senior,World Class
V. van Dijk,90,90,30,Liverpool,Netherlands,CB,98000000,230000,81,60,71,72,91,86,Senior,World Class
H. Kane,89,89,28,Tottenham Hotspur,England,ST,105500000,240000,68,91,83,82,47,82,Adult,World Class
Neymar Jr,89,89,30,Paris Saint-Germain,Brazil,LW,99500000,200000,87,83,85,93,37,61,Senior,World Class
H. Son,89,89,29,Tottenham Hotspur,Korea Republic,"LW,LM",101000000,240000,88,89,82,86,42,69,Adult,World Class
Casemiro,89,89,30,Manchester United,Brazil,CDM,86000000,240000,63,73,75,72,87,90,Senior,World Class
J. Oblak,89,91,29,Atlético de Madrid,Slovenia,GK,85500000,100000,86,90,78,89,49,87,Adult,World Class
S. Mané,89,89,30,FC Bayern München,Senegal,"LM,CF",99500000,145000,90,83,80,88,44,77,Senior,World Class
Ederson,89,91,28,Manchester City,Brazil,GK,88000000,210000,87,82,93,88,64,88,Adult,World Class
J. Kimmich,89,90,27,FC Bayern München,Germany,"CDM,RB",105500000,130000,68,72,87,84,83,79,Adult,World Class
Alisson,89,90,29,Liverpool,Brazil,GK,79000000,190000,86,85,85,89,54,90,Adult,World Class
N. Kanté,89,89,31,Chelsea,France,"CDM,CM",72000000,220000,72,66,74,81,87,82,Senior,World Class
Rúben Dias,88,91,25,Manchester City,Portugal,CB,107500000,230000,63,39,66,68,88,88,Adult,World Class
E. Haaland,88,94,21,Manchester City,Norway,ST,148000000,220000,89,91,65,80,49,87,Young,World Class
G. Donnarumma,88,92,23,Paris Saint-Germain,Italy,GK,103500000,110000,90,83,79,89,52,85,Adult,World Class
Bernardo Silva,88,88,27,Manchester City,Portugal,"CAM,CM",97500000,260000,77,78,84,92,61,68,Adult,World Class
João Cancelo,88,88,28,Manchester City,Portugal,"LB,RB",82500000,250000,85,73,85,85,81,73,Adult,World Class
Marquinhos,88,90,28,Paris Saint-Germain,Brazil,CB,92000000,170000,79,56,75,74,89,80,Adult,World Class
K. Navas,88,88,35,Paris Saint-Germain,Costa Rica,GK,10000000,85000,89,84,75,89,54,87,Senior,World Class
M. ter Stegen,88,89,30,FC Barcelona,Germany,GK,68500000,210000,86,85,87,90,47,85,Senior,World Class
T. Kroos,88,88,32,Real Madrid CF,Germany,CM,72000000,310000,53,81,90,81,71,68,Senior,World Class
L. Modrić,88,88,36,Real Madrid CF,Croatia,CM,29000000,230000,73,76,89,88,72,66,Senior,World Class
A. Rüdiger,87,88,29,Real Madrid CF,Germany,CB,73500000,250000,82,53,71,67,86,85,Adult,World Class
Rodri,87,89,26,Manchester City,Spain,CDM,88500000,200000,58,72,78,79,83,84,Adult,World Class
Fabinho,87,88,28,Liverpool,Brazil,"CDM,CB",77000000,185000,66,69,78,77,86,83,Adult,World Class
H. Lloris,87,87,35,Tottenham Hotspur,France,GK,9000000,80000,88,83,74,88,61,84,Senior,World Class
T. Müller,87,87,32,FC Bayern München,Germany,"CAM,CF",63000000,115000,69,84,83,80,56,71,Senior,World Class
De Gea,87,87,31,Manchester United,Spain,GK,42000000,150000,88,80,76,89,51,84,Senior,World Class
M. Verratti,87,87,29,Paris Saint-Germain,Italy,"CM,CAM",77500000,155000,60,61,87,91,79,66,Adult,World Class
M. Maignan,87,90,26,AC Milan,France,GK,80000000,90000,85,82,85,89,51,85,Adult,World Class
T. Alexander-Arnold,87,90,23,Liverpool,England,RB,100500000,150000,76,69,89,80,80,73,Adult,World Class
A. Robertson,87,87,28,Liverpool,Scotland,LB,72000000,185000,80,61,81,81,82,76,Adult,World Class
K. Koulibaly,87,87,31,Chelsea,Senegal,CB,54500000,175000,82,33,59,68,88,85,Senior,World Class
L. Goretzka,87,88,27,FC Bayern München,Germany,"CM,CDM",91000000,115000,78,82,82,83,81,86,Adult,World Class
F. de Jong,87,92,25,FC Barcelona,Netherlands,CM,116500000,230000,82,69,86,87,77,78,Adult,World Class
Thiago,86,86,31,Liverpool,Spain,CM,55500000,180000,61,72,87,90,72,69,Senior,World Class
C. Immobile,86,86,32,Lazio,Italy,ST,55000000,100000,85,87,68,80,39,75,Senior,World Class
R. Lukaku,86,86,29,Inter,Belgium,ST,68000000,200000,80,85,75,77,38,82,Adult,World Class
D. Alaba,86,86,30,Real Madrid CF,Austria,CB,55500000,220000,79,71,83,80,85,77,Senior,World Class
R. Sterling,86,86,27,Chelsea,England,"LW,RW",72500000,195000,90,80,78,86,45,67,Adult,World Class
R. Mahrez,86,86,31,Manchester City,Algeria,"RW,RM",56500000,220000,80,83,81,90,38,60,Senior,World Class
P. Dybala,86,86,28,Roma,Argentina,"CF,CAM",69500000,130000,80,85,85,90,40,59,Adult,World Class
Thiago Silva,86,86,37,Chelsea,Brazil,CB,12000000,115000,49,54,73,72,87,76,Senior,World Class
W. Szczęsny,86,86,32,Juventus,Poland,GK,33500000,125000,86,81,73,87,49,86,Senior,World Class
K. Trapp,86,86,31,Eintracht Frankfurt,Germany,GK,36000000,43000,84,82,79,87,46,85,Senior,World Class
Bruno Fernandes,86,86,27,Manchester United,Portugal,"CAM,CM",72500000,190000,72,86,88,81,67,76,Adult,World Class
Parejo,86,86,33,Villarreal CF,Spain,CM,42000000,64000,50,83,90,80,71,68,Senior,World Class
A. Laporte,86,87,28,Manchester City,Spain,CB,64500000,195000,61,50,72,69,86,79,Adult,World Class
K. Coman,86,87,26,FC Bayern München,France,LM,80000000,105000,92,77,79,87,30,61,Adult,World Class
